"Term","Year","Internship.Site","Title..if.applicable.","Location","Latitude","Longitude","Notes..if.any.","Notes.on.Location"
"Summer",2010,"Old Athens Farm","Farm Manager","Putney, Vermont",44.387611,-68.203912,NA,NA
"Summer",1993,"Okefenokee National Wildlife Refuge","Intern","Folkston, Georgia",30.8305818,-82.0097846,NA,NA
"Summer",2018,"Ogasawara Marine Center","SeaTurtle Conservationist & Surveyer","Ogasawara, Japan",27.1416228,142.2038688,NA,NA
"Fall",2012,"Office of Senator Sheldon Whitehouse","Intern","Washington, D.C.",38.8950368,-77.0365427,NA,NA
"Fall",1978,"Office of Environmental Programs at the Port of Authority of NY & NJ","Intern","Washington, D.C.",44.387611,-68.203912,"Not scanned: Circumpolar Conservation Union magazine and papers",NA
"Summer",2007,"Office of Congressman Frank Wolfe","Intern","Centreville, Virginia",38.047638,-77.8169377,NA,NA
"Summer",1982,"Ocmulgee National Monument","Intern","Macon, Georgia",32.8406946,-83.6324022,"PUT ASIDE 4 Pages not scanned, photos taped to paper.",NA
"Summer",1991,"Oceanarium Lobster Hatchery","Intern","Bar Harbor, Maine",44.3876378,-68.2043361,NA,NA
"Spring",1977,"Ocean Research and Education Society (ORES)","Intern","Boston, Massachusetts",42.3554334,-71.060511,"On research vessel 'Regina Maris'",NA
"Fall",2008,"Obama for America","Finance Department Intern","Chicago, Illinois",41.8755616,-87.6244212,NA,NA
"Summer",2013,"Oahu Army Natural Resources Program","Horticulture/Rare Plant Propagation","Schofield Barracks, Oahu, Hawaii",44.387611,-68.203912,NA,NA
"Spring",2005,"Nutrition Clinic","Intern","Vancouver Island, Canada",49.5929495,-125.702557,NA,NA
"Summer",2013,"NSD Consulting Oy","Marketing Team Member","Hyvinkää, Finland",44.387611,-68.203912,NA,NA
"Summer",1998,"NRCS","Soil Conservation Technician","Ellsworth, Maine",44.3106,-69.7795,NA,NA
"Spring",2002,"NOVA","Research Assistant","Boston, Massachusetts",42.3554334,-71.060511,NA,NA
"Spring",1983,"Not Man Apart Magazine","Intern","San Francisco, California",37.7792588,-122.4193286,NA,NA
"Fall",2000,"Northern outdoors","Whitewater Raft Guide","The Forks, Maine",45.3361624,-69.9672843,"Included Northern Outdoors guide 2000",NA
"Summer",2000,"Northeastern university","Research Assistant","Boston, Massachusetts",42.3554334,-71.060511,"Included The peregrine Spring 2003",NA
"Summer",2002,"Northeastern University","Research Assistant","Boston, Massachusetts",44.387611,-68.203912,NA,NA
"Summer",1989,"Northeast Historic Film","Intern","Blue Hill Farms, Maine",44.3106,-69.7795,"Not scanned: Pamphlet and 2 ""Moving Image Reviews"" papers",NA
"Summer",1997,"Northeast Health Systems","Intern","Beverly, Massachusetts",44.387611,-68.203912,NA,NA
"Summer",1998,"Northeast Connecticut Council of Governments (NECCG)","Intern","Dayville, Connecticut",41.8464872,-71.8875721,NA,NA
"Winter",2005,"North Woods Way","Intern","Willimantic, Maine",45.3067165,-69.4083826,NA,NA
"Winter",2021,"North Spore","Assistant Mycologist","Westbrook, Maine",43.6763036,-70.3663874,NA,NA
"Summer",2022,"North Fork Animal Welfare League","Animal Services Intern","Southhold, New York",44.387611,-68.203912,NA,NA
"Summer",2022,"NOAA","Intern","Washington, D.C.",38.8950368,-77.0365427,NA,NA
"Winter",2012,"No Nasties","Intern","Mumbai, India",19.0815772,72.8866275,NA,NA
"Summer",1986,"Nicaragua Network","Intern","Washington D.C.",38.91821796,-77.03725188,NA,NA
"Winter",2001,"NGO / Non Governmental Organization","Intern","Nyahururu, Kenya",0.0333,36.3666,NA,NA
"Summer",2020,"Next Step Dometic Violence Project","Direct Service and Support Group Advocate","Ellsworth, Maine",44.5414036,-68.4243047,NA,NA
"Summer",2018,"Newman and Gray Boatyard","Outdoor Storage Manager","Cranberry Isles, Maine",44.256933,-68.2672625,NA,NA
"Summer",1998,"Newburyport Maritime Society","Intern","Newburyport, Massachusetts",44.387611,-68.203912,NA,NA
"Winter",1990,"New York State Affiliate","Coordinator of NYS-NARAL's annual Lobby Day","NYC, NY",44.387611,-68.203912,NA,NA
"Summer",2011,"New York Open Center","Intern","New York, New York",40.741895,-73.989308,NA,NA
"Fall",2012,"New York Natural History Council","Intern","New York, New York",40.741895,-73.989308,NA,NA
"Summer",2011,"New York Botanical Garden","Forestry Intern","New York, New York",44.387611,-68.203912,NA,NA
"Spring",1982,"New Life Foundation","Intern","Athens, Maine",44.923488,-69.673233,NA,NA
"Winter",2016,"New Leaders Council Maine","Intern","Portland, Maine",44.3106,-69.7795,NA,NA
"Fall",2017,"New Fruit Collective","Intern","Portland, Maine",44.3106,-69.7795,NA,NA
"Winter",2000,"New England Tropical Conservatory","Intern","Bennington, Vermont",42.87705563,-73.19786526,NA,NA
"Summer",2001,"New England Roleplaying Organization","Intern","Brimfield, Massachussets",44.387611,-68.203912,NA,NA
"Spring",1978,"New England Health Foundation","Intern","Cambridge, Massachusetts",42.3655767,-71.1040018,NA,NA
"Summer",1997,"New England Aquarium Temperate Gallery","Intern","Central Wharf, Boston",42.3590789,-71.0495695,NA,NA
"Summer",1982,"New England Aquarium","Aquarium Projects Research Assistant","Lubec, Maine and Gulf of Maine",44.387611,-68.203912,NA,NA
"Summer",1996,"New England Aquarium","Cold Marine Aquarist","Boston, Massachusetts",42.3554334,-71.060511,NA,NA
"Summer",1980,"New England Aquarium","Research Assistant","Lubec, Maine",44.860736,-66.984329,NA,NA
"Fall",1991,"New England Aquarium","Intern","Boston, Massachusetts",44.387611,-68.203912,"Not scanned personal letters to Jill",NA
"Spring",1979,"New England Aquarium","Seal Handler","Rockland, Maine",44.3106,-69.7795,NA,NA
"Spring",1982,"New Brunswick Museum in Saint John","Intern","New Brunswick, Canada",46.500283,-66.750183,NA,NA
"Spring",1983,"New Brunswick Museum in Saint John","Intern","New Brunswick, Canada",46.500283,-66.750183,NA,NA
"Summer",1988,"New Alchemy Institute","Research Assistant","East Falmouth, Massachusetts",41.5784425,-70.5586401,NA,NA
"Fall",2020,"Nebetja","Intern","Cesis, Latvia",57.3131712,25.2748551,NA,NA
"Fall",1987,"Natural Resources Council of Maine","Intern","Augusta, Maine",44.3106,-69.7795,NA,NA
"Summer",1997,"Natural Resources Conservation Service","Intern","Ellsworth, Maine",44.3106,-69.7795,NA,NA
"Spring",2005,"Native Women's Health Education Resource Center","Intern","Lake Andes, South Dakota",43.156382,-98.54147,NA,NA
"Summer",2012,"National Parks Service","Pony Care Taker","Ocracoke Island, North Carolina",35.1283086,-75.9219023,NA,NA
"Summer",2021,"National Outdoor Leadership School (NOLS)","Intern","Rockland, Maine",44.104831,-69.1092025,NA,NA
"Winter",1978,"National Outdoor Leadership School (NOLS)","Intern","Lander, Wyoming",42.8330755,-108.730702,NA,NA
"Winter",1994,"National Organization for Women","Administrative Assistant","Boston, Massachusetts",42.3554334,-71.060511,NA,NA
"Summer",2006,"National Oceanic and Atmospheric Association, National Marine Fisheries","Intern","Key West, Florida",44.387611,-68.203912,NA,NA
"Summer",2021,"National Institute of Agricultural Economics (INEA)","Intern","Valladolid, Spain",41.6521328,-4.728562,NA,NA
"Fall",1996,"National Forest Service","Intern","Douglas, Arizona",44.387611,-68.203912,NA,NA
"Fall",1991,"National Ecology Research Center","Intern","Fort Collins, Colorado",44.387611,-68.203912,NA,NA
"Summer",2018,"National Eating Disorders Association (NEDA)","Helpline Intern","New York, New York",40.741895,-73.989308,NA,NA
"Summer",2012,"National Easting Disorders Association","Intern","New York, New York",40.741895,-73.989308,NA,NA
"Summer",2001,"National Assocation for Adult Vocational Training","Intern","Paris, France",44.387611,-68.203912,NA,NA
"Summer",2015,"Nasa's Wallops Flight Facility","Intern","Wallops Island, Virginia",37.8838711,-75.4561666,NA,NA
"Spring",1996,"NARC","Intern","Wales, United Kingdom",44.387611,-68.203912,"Not included: newspapers",NA
"Winter",2014,"Naenae College","Teacher Assistant","Wellington, New Zealand",44.387611,-68.203912,NA,NA
"Fall",1976,"NACUL Enviromental Design Center","Intern","Amherst, Massachusetts",42.3731948,-72.5198761,NA,NA
"Fall",1978,NA,"Alumni","Bangor, Maine",44.8016255,-68.7713289,NA,NA
"Winter",1998,NA,NA,"Olomouc, Czech Republic",49.5940567,17.251143,"Email update after graduation",NA
"Fall",1988,NA,"Alumni","London, United Kingdom",51.5074456,-0.1277653,"No Attatched letter, Preschool teacher in UK",NA
"Fall",2010,"Myrna Johnson Audio (MJAudio)","Intern","Jamaica Plain, Massachusetts",42.3116046,-71.1143838,NA,NA
"Summer",2018,"Myhre Equine Clinic","Veterinary Assistant","Rochester, New Hampshire",43.3050631,-70.9753629,NA,NA
"Summer",2017,"Muskegon Humane Society","Intern","Muskegon, Michigan",43.2341813,-86.2483921,NA,NA
"Winter",2015,"Museum of Popular Art","Intern","Merida, Yucatan",44.387611,-68.203912,NA,NA
"Summer",2004,"Museum of Indian Arts & Culture","Intern","Santa Fe, New Mexico",35.6876096,-105.938456,NA,NA
"Summer",2016,"Museum of Fine Arts","Studio Art Classes Assistant","Boston, Massachussets",42.3554334,-71.060511,NA,NA
"Spring",1997,"Multiversidad Franciscana De America Latina","Intern","Montevideo, Uruguay",-34.9058916,-56.1913095,NA,NA
"Fall",2000,"MTV / Paramount Building","Intern","New York, New York",40.741895,-73.989308,"worked on Celebrity Deathmatch",NA
"Winter",2017,"Mt. Desert Elementary School","Student Teacher","Bar Harbor, Maine",44.3876378,-68.2043361,NA,NA
"Summer",2004,"Mt Desert Island Biological Laboratory","Intern","Salisbury Cove, Maine",44.43082,-68.28341,NA,NA
"Winter",1992,"Mr. Spencer Adler","Intern","Washington, D.C.",38.8950368,-77.0365427,NA,NA
"Summer",1986,"Mr. Paul L. Newman","Biography writer","Westport, Connecticut",41.1414855,-73.3578955,NA,NA
"Summer",2000,"Mount Desert Rock Marine Reserch Station","Intern","Mount Desert Rock, Maine",43.9686255,-68.1280692,NA,NA
"Summer",1987,"Mount Desert Rock Marine Reserch Station","Research Assistant","Mount Desert Rock, Maine",43.9686255,-68.1280692,"Included newpapers from Mt. Desert Rock 1983, 1986",NA
"Winter",2010,"Mount Desert Islander","Intern","Bar Harbor, Maine",44.3876378,-68.2043361,NA,NA
"Summer",2019,"Mount Desert Island YMCA","Assistant Camp Coordinator","Bar Harbor, Maine",44.3876378,-68.2043361,NA,NA
"Summer",1980,"Mount Desert Island YMCA","Camp Counselor","Bar Harbor, Maine",44.3876378,-68.2043361,NA,NA
"Spring",2000,"Mount Desert Island Water Quality Coalition","Education Outreach Intern","Mount Desert, Maine",44.3106,-69.7795,NA,NA
"Summer",1975,"Mount Desert Island Lake Study","Research Assistant","Mount Desert Island, Maine",44.3330869,-68.2407865,NA,NA
"Summer",2016,"Mount Desert Island Ice Cream","Intern","Bar Harbor, Maine",44.3876378,-68.2043361,NA,NA
"Summer",2011,"Mount Desert Island Hospital","Emergency Room Clerk","Bar Harbor, Maine",44.3106,-69.7795,NA,NA
"Summer",2009,"Mount Desert Island Hospital","Intern","Bar Harbor, Maine",44.387611,-68.203912,NA,NA
"Summer",2017,"Mount Desert Island Hospital","Undergraduate Intern","Bar Harbor, Maine",44.3876378,-68.2043361,NA,NA
"Summer",2022,"Mount Desert Island Hospital","Rotation Intern","Bar Harbor, Maine",44.387611,-68.203912,NA,NA
"Spring",2016,"Mount Desert Island Historical Society","Visiting History Scholar Intern","Mount Desert, Maine",44.3106,-69.7795,NA,NA
"Spring",1993,"Mount Desert Island High School","Student Teacher","Bar Harbor, Maine",44.3876378,-68.2043361,NA,NA
"Fall",2016,"Mount Desert Island Clean Energy Partners","Intern","Bar Harbor, Maine",44.387611,-68.203912,NA,NA
"Summer",2020,"Mount Desert Island Biological Laboratory (MDIBL)","Intern","Bar Harbor, Maine",44.3876378,-68.2043361,NA,NA
"Summer",1990,"Mount Desert Island Biological Laboratory (MDIBL)","Intern","Bar Harbor, Maine",44.3876378,-68.2043361,NA,NA
"Summer",2008,"Mount Desert Island Biological Laboratory","Intern","Salisbury Cove, Maine",44.43082,-68.28341,NA,NA
"Summer",2006,"Mount Desert Island Biological Laboratory","Research Assistant","Salsbury Cove, Maine",44.43082,-68.28341,NA,NA
"Summer",2020,"Mount Desert Island Biological Laboratory","Research Assistant","Salsbury Cove, Maine",44.43082,-68.28341,NA,NA
"Fall",2015,"Mount Desert Island Biological Laboratory","Development Intern","Bar Harbor, Maine",44.387611,-68.203912,NA,NA
"Spring",2005,"Mount Desert Island Biological Laboratory","Research Internship","Bar Harbor, Maine",44.387611,-68.203912,NA,NA
"Summer",2016,"Mount Desert Hospital","Student Observer","Bar Harbor, Maine",44.3876378,-68.2043361,NA,NA
"Fall",2010,"Mount Desert Elementary School","Intern","Northeast Harbor, Maine",44.2942468,-68.2897381,NA,NA
"Fall",2023,"Mount Desert Elementary School","Student Teacher","Bar Harbor, Maine",44.3876378,-68.2043361,NA,NA
"Fall",2018,"Mount Desert Elementary","Student Teacher","Northeast Harbor, Maine",44.2942468,-68.2897381,NA,NA
"Fall",2021,"Mount Desert 365","Intern","Northeast Harbor, Maine",44.2942468,-68.2897381,NA,NA
"Winter",2000,"Mote Marine Laboratory","Research Assistant","Sarasota, Florida",27.3365805,-82.5308545,NA,NA
"Summer",2008,"Mote Marine Laboratory","Sea Turtle Intern","Sarasota, Florida",27.3365805,-82.5308545,NA,NA
"Winter",2008,"Mote Marine Laboratory","Intern","Sarasota, Florida",44.387611,-68.203912,NA,NA
"Spring",1981,"Morrisville Elementary School","Teaching Assistant","Morrisville, Vermont",44.387611,-68.203912,NA,NA
"Summer",2002,"Morris Land Conservancy","Assistant to the Projects Director","Boonton, New Jersey",44.387611,-68.203912,NA,NA
"Summer",2017,"Morris Farm","Educator","Wiscasset, Maine",44.3106,-69.7795,NA,NA
"Fall",2017,"Morning Glory Natural Foods","Refrigeration Lead","Brunswick, Maine",43.9166529,-69.9659438,NA,NA
"Spring",2016,"Morning Dew Farm","Farm Apprentice","Newcastle, Maine",44.034962,-69.536928,NA,NA
"Winter",2003,"Morgan County and Parents and Children Together","Intern","Decatur, Alabama",44.387611,-68.203912,NA,NA
"Summer",1995,"Moosehorn National Wildlife Service (NWR)","Intern","Calais, Maine",45.1890175,-67.2781391,NA,NA
"Summer",1989,"Moosehorn National wildlife Refuge","Intern","Calais, Maine",44.3106,-69.7795,NA,NA
"Summer",2000,"Montpellier District","Intern","Montpellier, France",43.6112422,3.8767337,NA,NA
"Winter",2022,"Monteverde Cloud Forest Biological Preserve","Environmental Education Assistant","Monteverde, Puntarenas, Costa Rica",44.387611,-68.203912,NA,NA
"Summer",2015,"Monhegan Island Farm","Farm Intern","Monhegan, Maine",44.3106,-69.7795,NA,NA
"Spring",2007,"Molecular Ecology & Fisheries Genetics Laboratory","Intern","Gwynedd, United Kingdom",44.387611,-68.203912,NA,NA
"Fall",2015,"Mogalakwena Research Center","Research Assistant","Limpopo Province, South Africa",-23.4735288,29.3959199,NA,NA
"Summer",2007,"Mitchell Center UM","Intern","Orono, Maine",44.88535663,-68.66997805,NA,NA
"Summer",2010,"Miriam Mohler Brighan and Women's Hostipal","Apprentice","Boston, Massachusetts",42.3554334,-71.060511,"Double",NA
"Summer",2008,"Ministry of Agriculture Kenya","Intern","Nairobi, Kenya",-1.2832533,36.8172449,NA,"cannot find HAIROBI which was entered, coordinates for NAIROBI"
"Fall",2011,"Minestry of Environment of the Slovack Republic","Intern","Bratislaava, Slovakia",44.387611,-68.203912,NA,NA
"Winter",1993,"Milwaukee Art Museum","Intern","Milwaukee, Wisconsin",43.0349931,-87.922497,NA,NA
"Fall",1993,"Miller Library","Library Assistant","Waterville, Maine",44.3106,-69.7795,NA,NA
"Spring",2011,"Michael Baker Jr., Inc.","Intern","Linthicum, Maryland",44.387611,-68.203912,NA,NA
"Summer",2017,"MI House of Representatives","Legislative Intern","Lansing, Michigan",42.7337712,-84.5553805,NA,NA
"Spring",2006,"Mesoamerican Permaculture Institute and Reference Center","Intern","San Lucas Toliman, Guatemala",44.387611,-68.203912,NA,NA
"Fall",1979,"Merry Gardens","Student Teacher","Camden, Maine",44.387611,-68.203912,NA,NA
"Spring",1979,"Merritt Island Wildlife Refuge","Research Assistant","Titusville, Florida",28.6122187,-80.8075538,"With Cornell",NA
"Summer",2004,"Merrifield Farm","Intern","Cornish, Maine",43.804801,-70.801392,NA,NA
"Fall",1995,"Merion Art and Reproduction Center","Intern","Ardmore, Pennsylvania",40.0067786,-75.2854622,NA,NA
"Spring",1977,"Merck Forest, Sugarbush of Ralf H. Fisher and Sons","Park Assistant, maple tappist","Rupert, Vermont, Greensboro, Vermont",44.387611,-68.203912,"Not Scanned; Some newspapers",NA
"Spring",1981,"Melvin King, State Representative, Community Program Center","Research Assistant","Boston, MA",44.387611,-68.203912,NA,NA
"Summer",2013,"Meadows Bee Farm","Intern","Windham, Vermont",44.387611,-68.203912,NA,NA
"Summer",1992,"Meadowcreek Inc","Intern","Fox, Arkansas",35.7914653,-92.2976558,NA,NA
"Spring",2011,"MDIBL/ Jackson Laboratory","Research Assisstant","Bar Harbor, Maine",44.387611,-68.203912,NA,NA
"Summer",1973,"MDIBL","Independent Study","Williams College",44.387611,-68.203912,NA,"unclear location, Bio Lab on MDI? Where is Williams College?"
"Spring",2000,"MDI YMCA","Fitness Assistant","Bar Harbor, Maine",44.387611,-68.203912,NA,NA
"Spring",2005,"MDI Water Quality Coalition","Intern","Mount Desert, Maine",44.3486501,-68.3435443,NA,NA
"Summer",2010,"MDI Ice Cream","Employee","Bar Harbor, Maine",44.3876378,-68.2043361,NA,NA
"Summer",2014,"MDI Hospital","COA Student Affiliate","Bar Harbor, Maine",44.387611,-68.203912,NA,NA
"Spring",2007,"MDI High School for Educational Studies","Student Teacher","Bar Harbor, Maine",44.3876378,-68.2043361,NA,NA
"Winter",2010,"MDI High School","Teaching Assistant","Bar Harbor, Maine",44.387611,-68.203912,NA,NA
"Winter",2010,"MDI High School","Teaching Assistant","Bar Harbor, Maine",44.387611,-68.203912,NA,NA
"Summer",2016,"MDI Clean Water Partnership","Energy Fellow","Mount Desert Island, Maine",44.3330869,-68.2407865,NA,NA
"Summer",2012,"MDI Clean Energy Partners","Project Developer","Bar Harbor, Maine",44.3876378,-68.2043361,NA,NA
"Summer",2016,"MDI Clean Energy Partners","Intern","Bar Harbor, Maine",44.387611,-68.203912,NA,NA
"Summer",2017,"MDI Clean Energy Partners","Summer Energy Fellow & Intern","Bar Harbor, Maine",44.387611,-68.203912,NA,NA
"Summer",2021,"MDI Biological Laboratory","Intern","Bar Harbor, Maine",44.3876378,-68.2043361,NA,NA
"Winter",2021,"MDI Biological Laboratory","Lab Tech intern","Bar Harbor, Maine",44.3876378,-68.2043361,NA,NA
"Summer",2016,"MDI Biological Laboratory","Research Assistant","Bar Harbor, Maine",44.3876378,-68.2043361,NA,NA
"Summer",2013,"MDI Biological Laboratory","Research Assistant","Bar Harbor, Maine",44.387611,-68.203912,NA,NA
"Summer",2003,"MDI Biological Laboratory","Reaserch Assistant","Bar Harbor, Maine",44.387611,-68.203912,NA,NA
"Spring",1981,"MDI Biological Laboratory","Intern","Salsbury Cove, Maine",44.3106,-69.7795,NA,NA
"Fall",2004,"McKay's Publik House","Intern","Bar Harbor, Maine",44.387611,-68.203912,NA,NA
"Fall",2012,"Maya Mountain Research Farm","Intern","Toledo, Belize",44.387611,-68.203912,NA,NA
"Summer",2005,"Matt Newman & Bruce Maanum","Housing building Intern","Surry, Maine",44.3106,-69.7795,NA,NA
"Summer",2021,"Massachusetts Division of Marine Fisheries","Inter","Boston, Massachusetts",44.387611,-68.203912,NA,NA
"Summer",1996,"Massachusetts Audubon Coastal Waterbird Program","Intern","Duxbury, Massachusetts",42.0417695,-70.672259,"Physical file included print of emails fron Books to Jill and brochure about seabirds",NA
"Summer",2002,"Maryland Conservation Corps","Americorp","Mitchelville, Maryland",38.915521,-76.719557,NA,NA
"Summer",1999,"Marthas Vineyard Commission","Intern","Marthas Vineyard, Massachusetts",41.438625,-70.6076451,NA,NA
"Summer",1996,"Martha Vineyards Commission","Intern","Massachusetts",44.387611,-68.203912,NA,NA
"Winter",1995,"Mark Poster","Research Assistant","Irvine, California",33.6856969,-117.825981,NA,NA
"Fall",2007,"Mario Negri Institute for Pharmacological","Intern","Milan, Italy",44.387611,-68.203912,NA,NA
"Winter",1983,"Marineland of the Pacific","Intern","Rancho Palos Verdes, California",44.387611,-68.203912,NA,NA
"Summer",1982,"Marine Resources Center","Intern","Manteo, North Carolina",35.9082257,-75.6757303,NA,NA
"Fall",1976,"Marine Biological Laboratories","Intern","Woods Hole, Massachusetts",41.5253392,-70.6725525,NA,NA
"Spring",2011,"Maquipucuna Foundation","Intern","Quito, Ecuador",-0.2201641,-78.5123274,NA,NA
"Summer",2020,"Mapping Ocean Stories Project","Researcher","Bar Harbor, Maine",44.387611,-68.203912,NA,NA
"Spring",1982,"Manomet Bird Observatory","Intern","Manomet, Massachusetts",41.9200047,-70.5430985,NA,NA
"Summer",1982,"Manomet Bird Observatory","Intern","Manomet, Massachusetts",41.9200047,-70.5430985,NA,NA
"Fall",1979,"Manomet Bird Observatory","Intern","Manoment, MA",44.387611,-68.203912,NA,NA
"Winter",1986,"Manhattan Country School Farm","Intern","Catskill Mountains, New York",42.2578532,-74.6111692,"Included Connections Spring 2002",NA
"Fall",2001,"Manhattan Country School Farm","Environmental Educator","Roxbury, New York",44.387611,-68.203912,NA,NA
"Summer",2018,"Mandala Farm","Intern","Gouldsboro, Maine",44.478412,-68.0383389,NA,NA
"Winter",2001,"Maine State Senate","Senator Assistant","Augusta, Maine",44.3169922,-69.7734278,NA,NA
"Summer",2003,"Maine State Sea Kayak Guide Service","Intern","Southwest Harbor, Maine",44.2798024,-68.3250168,NA,NA
"Summer",1991,"Maine State Music Theatre","Intern","Brunswick, Maine",43.9166529,-69.9659438,NA,"cannot find Bruinswick which was entered, coordinates for BRUNSWICK"
"Winter",1985,"Maine State House","Intern","Augusta, Maine",44.3106,-69.7795,NA,NA
"Summer",2015,"Maine Standard BioFuels","Intern","Portland, Maine",43.6573515,-70.2584115,NA,NA
"Summer",2018,"Maine Maritime Academy","Admissions Intern","Blue Hill, Maine",44.414164,-68.58696,NA,NA
"Summer",2022,"Maine International Film Festival","Operations Specialist","Waterville, Maine",44.3106,-69.7795,NA,NA
"Summer",2019,"Maine IDeA Network of Biomedical Research Excellence","INBRE fellow","Orono, Maine",44.88535663,-68.66997805,NA,NA
"Fall",1995,"Maine Hospice Council","Intern","Augusta, Maine",44.3169922,-69.7734278,NA,NA
"Spring",1997,"Maine HIV Advisory Committee","Intern","Portland, Maine",43.6573515,-70.2584115,NA,NA
"Summer",1990,"Maine Historic Preservation Society","Museum Technical Intern","Augusta, Maine",44.3106,-69.7795,NA,NA
"Summer",1990,"Maine Department of Conservation","Intern","Augusta, Maine",44.3169922,-69.7734278,NA,NA
"Fall",2017,"Maine Community Integration","Board Member","Lewiston, Maine",44.3106,-69.7795,NA,NA
"Fall",2010,"Maine Coast Heritage Trust","Intern","Bar Harbor, Maine",44.387611,-68.203912,NA,NA
"Summer",2010,"Maine Coast Heritage Trust","GIS Intern","Bar Harbor, Maine",44.387611,-68.203912,NA,NA
"Winter",2003,"Maine Audubon Society","Intern","Falmouth, Maine",43.729525,-70.241993,NA,NA
"Summer",1986,"Maine Audubon Society","Intern","Falmouth, Maine",44.3106,-69.7795,NA,NA
"Summer",2000,"Maine Acadian Heritage Council","Intern","Madawaska, Maine",44.3106,-69.7795,NA,NA
"Summer",2009,"Mahindra United World College of India","Intern","Maharashtra, India",44.387611,-68.203912,NA,NA
"Summer",1979,"Magnetic Corporation of America","Intern","Waltham, Massachusetts",44.387611,-68.203912,NA,NA
"Summer",1981,"Mack Plastics","Intern","Bristol, Rhode Island",41.7034082,-71.2844401,NA,NA
"Winter",2016,"Mabel Wadsworth Womens Health Center","Intern","Bangor, Maine",44.8016255,-68.7713289,NA,NA
"Fall",2002,"M.S.A.D #11","Life Skills teacher","Gardiner, Maine",44.2297027,-69.7731228,NA,NA
"Spring",1983,"M.A.Clark Inc","Intern","Ellsworth, Maine",44.5414036,-68.4243047,NA,NA
"Summer",2013,"Lunaform","Intern","Sullivan, Maine",44.5203554,-68.1966797,NA,NA
"Fall",2012,"Ludas Production","Assistant Engineer","Minneapolis, Minnesota",44.9772995,-93.2654692,NA,NA
"Spring",2022,"Lower Sherwood Farm","Intern","Charlottesville, Virginia",38.029306,-78.4766781,NA,NA
"Spring",2018,"Louisiana Bucket Brigade","Project and Event Coordinator","New Orleans, Louisiana",29.9759983,-90.0782127,NA,NA
"Spring",2014,"Lopez Community Land Trust","Intern","Lopez Island, Washington",48.5308,-122.914406,NA,NA
"Winter",1991,"Loomis House Retirement Community","Resident Assistant","Holyoke, Massachusetts",42.2071434,-72.60765,NA,NA
"Summer",2021,"Long Cove Sea Farm","Farm Intern","Deer Isle, Maine",44.224044,-68.677597,NA,NA
"Summer",2020,"Long Cove Sea Farm","Farmhand","Deer Isle, Maine",44.224044,-68.677597,NA,NA
"Summer",1981,"Lombardo and Associates","Intern","Boston, Massachusetts",42.3554334,-71.060511,NA,NA
"Fall",1978,"Lobo Wolf Foundation","Intern","Gardiner, Washington",44.387611,-68.203912,NA,NA
"Winter",2013,"Living in Peace Project","Intern","Karamea, New Zealand",44.387611,-68.203912,NA,NA
"Winter",2019,"Little Rivers Healthcare","Observer","Wells River, Vermont",44.387611,-68.203912,NA,NA
"Summer",2021,"Little Long Pond Preserve","Intern","Seal Harbor, Maine",44.3031358,-68.2402921,NA,NA
"Summer",2008,"Little Beaver Creek Land Foundation","Intern","Lisbon, Ohio",44.387611,-68.203912,NA,NA
"Summer",2010,"Literacy Services of Wisconsin","Special Assistant to the Executive Director","Milwaukee, Wisconsin",44.387611,-68.203912,NA,NA
"Summer",2020,"Listening Point Foundation","Intern","Ely, Minnesota",47.901571,-91.8572479,NA,NA
"Winter",1981,"Linda Read","Apprentice","Ellsworth, ME",44.387611,-68.203912,NA,NA
"Fall",2012,"Lilongwe Wildlife Rehabilitation Centre","Intern","Lilongwe, Malawi",-13.9875107,33.768144,NA,NA
"Summer",1988,"Lifeline for Wildlife","Intern","Stonypoint, New York",41.2295386,-73.9870847,"Included brochure","cannot find STONYPOINT which was entered, coordinates for STONY POINT"
"Summer",2014,"Lewiston-Auburn Water and Pollution Control Authority (LAWPCA)","Lab Tech intern","Lewiston, Maine / Auburn, Maine",44.1004515,-70.2150294,NA,"coordinates for Lewiston, Maine"
"Winter",2011,"Leif Hedendal","Research Assistant/Cook","San Francisco, California",37.7792588,-122.4193286,NA,NA
"Summer",1989,"League of Town (Northeast Harbor)","Intern","Northeast Harbor, Maine",44.2942468,-68.2897381,"The report produced during intership was included in scan. Physical files Newspaper included",NA
"Spring",2014,"Le Ferme Des Places","Apprentice Farmer","Saint Laurent, France",44.387611,-68.203912,NA,NA
"Summer",2017,"Latin American Coucil of Social Sciences (CLACSO)","Intern","Buenos Aires, Argentina",-34.6037181,-58.38153,"Consejo Latinoamericano de Ciencas Sociales (CLACSO)",NA
"Winter",1994,"Landscape Design Associates","Intern","Bar Harbor, Maine",44.3876378,-68.2043361,NA,NA
"Summer",2018,"Land and Garden Preserve","Seasonal Land Steward","Seal Harbor, Maine",44.3106,-69.7795,NA,NA
"Summer",2017,"Lambay Island","Farm Intern/Research Intern","Lambay, Dublin",53.4906731,-6.019448,NA,NA
"Summer",2021,"Lakeside School: Waldorf","Intern","Essex County, New York",44.295994,-73.407109,NA,"coordinates for ""2-198 Leaning Rd, Essex, NY 12936"", Lakeside School in Essex"
"Summer",1998,"Lake Creeley Camp","Intern","Kenilworth, New Jersey",44.387611,-68.203912,NA,NA
