"Term","Year","Internship.Site","Title..if.applicable.","Location","Latitude","Longitude","Notes..if.any.","Notes.on.Location"
"Summer",2014,"University of Nevada","Research Assistant","Reno, Nevada",39.5261206,-119.8126581,NA,NA
"Summer",1994,"University of Maryland's Ecological Economics Department","Intern","Elkridge, Maryland",39.2128338,-76.7137155,"Included brochure",NA
"Summer",2003,"University of Maryland","Research Assistant","College Park, Maryland",44.387611,-68.203912,NA,NA
"Winter",1996,"University of Maine Cooperative Extension","Research Assistant","Auburn, Maine",44.0979903,-70.2312137,NA,NA
"Summer",2004,"University of Maine","Intern","Orono, Maine",44.883607,-68.672791,NA,NA
"Spring",2008,"University of Latvia","Assistant","Riga, Latvia",56.8406494,24.7537645,NA,NA
"Winter",2010,"University of Ecuador","Research Assistant","Quito, Ecuador",-0.2201641,-78.5123274,NA,NA
"Summer",2018,"University of California Santa Barbara","REU intern","Santa Barbara, California",34.4221319,-119.702667,NA,NA
"Fall",2009,"University of California Berkley","Carnivore Ecology Volunteer","Berkeley, California",37.8708393,-122.272863,NA,NA
"Fall",1999,"University of California Berkeley","Archeologist Assistant","Baja, CA",44.387611,-68.203912,NA,NA
"Summer",1999,"University of California","Research Intern","Davis, California",44.387611,-68.203912,NA,NA
"Summer",2014,"University of Arizona Biosphere 2","Undergraduate Researcher","Tucson, Arizona",44.387611,-68.203912,NA,NA
"Spring",1982,"University of Alaska Bairbanks","Intern","Fairbanks, Alaska",64.837845,-147.716675,NA,NA
"Summer",2022,"United World College","Facilitator","Brandenburg, Germany",44.387611,-68.203912,NA,NA
"Summer",2020,"United States Geological Survey","Intern","Woods Hole, Massachusetts",44.387611,-68.203912,NA,NA
"Summer",1999,"United States Forest Service","Intern","Idaho Springs, Fort Collins, Colorado",39.7425969,-105.5136365,NA,"coordinates for Idaho Springs, CO"
"Summer",2005,"United States Fish and Wildlife Services","Intern","Bar Harbor, Maine",44.3876378,-68.2043361,NA,NA
"Summer",1998,"United States Fish and Wildlife Service (USFWS)","Intern","Albuquerque, New Mexico",35.08449,-106.65114,NA,NA
"Summer",1996,"United States Fish and Wild Life (USFWF)","Intern","Milbridge, Maine",44.5353533,-67.881173,NA,NA
"Spring",2008,"United Planet","Volunteer","Boston, MA",44.387611,-68.203912,NA,NA
"Summer",2006,"United Nations University for Peace","Coordinator","Ciudad Colon, Costa Rica",44.387611,-68.203912,NA,NA
"Winter",2011,"United Nations Development Fund for Women (UNIFEM)","Intern","Damascus, Syria",33.5130695,36.3095814,NA,NA
